（親）ASIN,タイトル,セッション数 - 合計,セッション数 - 合計 - B2B,セッション率 - 合計,セッション率 - 合計 - B2B,おすすめ出品（おすすめ商品）の獲得率,おすすめ出品（おすすめ商品）の獲得率 - B2B,注文された商品点数,注文点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品の売上額,注文商品の売上額 - B2B,注文品目総数,注文品目総数 - B2B
B015U3ABVE,GSブラックティー1000ｍｌ　加糖　３本,18,0,1.56%,0.00%,8.70%,0.00%,3,0,16.67%,0.00%,"￥9,420",￥0,3,0
B0DPLQR647,ダイショー 厨房王 ハニーマスタードソース,5,0,0.43%,0.00%,100.00%,0.00%,2,0,40.00%,0.00%,"￥3,000",￥0,2,0
B0DSHDG1DB,日本食品 純製ラード 15kg 一斗缶,4,1,0.35%,3.13%,100.00%,0.00%,2,0,50.00%,0.00%,"￥15,960",￥0,2,0
B088TG28XH,ヤギミルク 大人のための粉ミルク ユキちゃんのミルク 120g,22,0,1.90%,0.00%,14.81%,0.00%,5,0,22.73%,0.00%,"￥9,000",￥0,1,0
B097F98JNZ,ジーエスフード　サラダスパイス 130g,7,1,0.61%,3.13%,66.67%,100.00%,2,2,28.57%,200.00%,"￥1,940","￥1,940",1,1
B002QEL0AW,かどや製油 銀印（濃口） 純正ごま油 1650g 業務用 大容量,75,2,6.49%,6.25%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B002XCR0C4,創味 シャンタン 1kg,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0033VCFXI,ハイミー 1KG,13,0,1.12%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B003Q4BC1I,ジェリフ ゼリエース ゼラチンパウダー緑 1kg,62,0,5.36%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B003WJM2WA,業務用 ブリーチS 5.5kg,2,0,0.17%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B004KJZOL2,ジェリフ ゼリエース ゼラチンパウダー緑 450g,30,0,2.60%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B004MDWGMQ,雪印メグミルク 北海道コンデンスミルク(大容量) 480g,30,1,2.60%,3.13%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0054NT4QE,スプーン印 グラニュ糖 1kg×20袋,5,2,0.43%,6.25%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0058QIAP8,ダイショー ガツンと辛旨だれ 2.1kg,8,1,0.69%,3.13%,8.33%,100.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0058QIIKU,ダイショー 新カラフルトッピングスパイスNT 500g,2,0,0.17%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B005UHTXJC,Del Monte デルモンテ ケチャップ 1号缶(標準),2,0,0.17%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B005WFNT4C,カゴメ トマトペースト 850g 業務用 大容量 レストラン用,9,1,0.78%,3.13%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0076JRLWS,理研農産化工 大豆白絞油 16.5kg 缶,2,0,0.17%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0076JROJ8,理研 キャノーラサラダ油 16.5kg 缶,26,1,2.25%,3.13%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B009QTHNWO,カップ印 粉糖 1kg,27,3,2.34%,9.38%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B00BITVE34,味の素 S 20kg,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B00H48UCU4,ジーエスフード ランチスープ (若布入) 250g缶,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B00IJ2CZI6,ジーエスフード　ねりからし（マスタード）　330g,2,0,0.17%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B00Z537NPW,ニイタカ ニューケミクール4kg 1ケース(4本),1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B00Z53CXWK,ニイタカ 油固化剤 カタマール500g×10袋(ケース),1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B014SEEAFY,ジーエスフード ストロベリーフルーツソース,12,0,1.04%,0.00%,7.69%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B019I0592Q,讃岐物産 うどん県のうどん 300g×5袋,33,0,2.85%,0.00%,36.17%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B01CQTFRXM,アサイー＆ベリー5倍希釈用（500ｍｌ）,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B01JDBD9UY,雪印メグミルク 北海道コンデンスミルク 業務用 480g x2本,22,1,1.90%,3.13%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B01N18DG7D,雪印メグミルク【業務用】北海道コンデンスミルク 480g,11,0,0.95%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B01N22Y2GT,ジーエスフード GS ホワイトドリンク 1000ml紙パック×12本入,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0787VZ6JJ,ジーエスフード GS ブラックティーL 加糖 1000ml紙パック×12本入,4,0,0.35%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B07DWG9QLX,谷尾食糧 さくらあん松小倉 2号缶×12個,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B07DYQYJBW,ジーエスフード 拉麺胡椒 (ラーメンコショー) 90g×2本セット,5,0,0.43%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B07XBQZCXZ,ダイショー CoCo壱番屋監修 チーズカレー鍋スープ 750g×10袋入,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B07XDQ75ZR,ダイショー CoCo壱番屋監修 カレー鍋スープ 750g×10袋入,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0827MHSFQ,ダイショー CoCo壱番屋監修 カレー鍋スープ 750g×2袋入 カレー CoCo壱 簡単 鍋 スープ,2,0,0.17%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B082JZ7HD7,昭和産業 キャノーラ 油 業務用 16.5kg 一斗缶,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B08BZVHZ7D,ジーエスフード 拉麺胡椒 (ラーメンコショー) 90g×3本セット,4,0,0.35%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B08F4WF4N5,【常温】 味の素 KK コンソメJ 500g×4袋 業務用 【セット商品】,11,0,0.95%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B08GXFHQVT,[公式]ヒガシマル醤油 割烹関西 蛤と帆立の白だしつゆ 1ℓ,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B08L4W9RT9,昭和電工マテリアルズ(Showadenko Materials) 日立化成 キッチニスタラップ 詰替用 30cm×110m 377402,19,3,1.64%,9.38%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B08WHG14BB,ダイショー アヒージョ風ソース 900g,2,0,0.17%,0.00%,50.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B08WMCB13R,カゴメ トマトケチャップ,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B099KCHVPG,【常温】 ジーエスフード 牛乳とまぜて作る ムースベース いちご 500ml 業務用 デザート スイーツ ムース,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B099N4VJ1D,純正ごま油濃口,4,0,0.35%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B099PHTZQ2,ムースベース(ピーチ)スリムパック 500ｍｌ,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B099PKQP8F,ムースベース(プレーン)スリムパック 500ｍｌ,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B09B9V3JJ9,かどや製油 【2セット】かどや 銀印 純正ごま油 濃口 1650g×2本,16,2,1.38%,6.25%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B09GFHK4P9,ダイショー 博多 水炊き スープ 3～4人前 750g×5袋,2,0,0.17%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B09GFNM78N,ダイショー 鶏南蛮 鍋 スープ だし醤油仕立て 3～4人前,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B09N6RJ9VX,鎌田醤油だし醤油500㎖ X 3本セット袋入り,3,0,0.26%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B09RPB595F,[KUIKO KEBABU] ELI SAUCE エリソース 300ml /マイルドソース,24,2,2.08%,6.25%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B09WH8TM9D,[KUIKO KEBABU] ELI SAUCE Lemon エリソース 300ml/レモンソース,12,1,1.04%,3.13%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B09WHCH6H7,[KUIKO KEBABU] ELI SAUCE Chili エリソース 300ml チリソース,4,1,0.35%,3.13%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0BRBKJM88,ダイショー CoCo壱番屋監修 カレー鍋スープ,79,0,6.83%,0.00%,0.93%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0BZ4QSRW9,ランチポタージュスープ 袋入 400ｇ,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0C1NPKC2C,讃岐物産 うどん県のうどん 300g×15個,3,0,0.26%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0CGDJ7TLT,鎌田醤油 だし醤油 500ml 2本,8,0,0.69%,0.00%,12.50%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0CJ42NX1K,味の素 ドレッシング,3,0,0.26%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0CP3Z7LB8,ニイタカ ニューケミクール 油汚れ 強力洗浄剤,17,2,1.47%,6.25%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0CYZZ993M,味の素 クノール コンソメ 業務用 スープの素 ブイヨン 洋風だし 顆粒 大容量,86,1,7.44%,3.13%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0D53F8VDG,味の素 うま味調味料 味の素S 業務用 1kg袋 大容量 こんぶだしのうま味,234,3,20.24%,9.38%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0DJ8KDT6J,エリソース 沖縄 お土産 やきとりのたれ ソース 万能調味料 うまいたれ シークヮーサー 300ml,1,0,0.09%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0DJNY3J9N,ELI SAUCE シークワーサー 300ml,3,0,0.26%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0DNYFZB8J,キャノーラ油 昭和産業 キャノーラサラダ油BOX 8kg サラダ油 バックインザボックス 業務用 家庭用 揚げ油 なたね油 菜種油 天ぷら油 食用油,2,1,0.17%,3.13%,100.00%,100.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0DPZLFLJQ,オーロラソース 800g ダイショー 厨房王 バーガーソース,1,0,0.09%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0DQS9LHN2,ヘット 牛脂 15kg 日本食品 一斗缶 業務用 国産牛100%,12,0,1.04%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0DQYK2T8W,ライオンラベルラード 清水商事 15kg ラード 業務用 一斗缶,1,0,0.09%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0DTTKYQLS,鎌田 醤油,84,1,7.27%,3.13%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0F36WQGK6,ジーエスフード GS ストレートティー 加糖 1000ml紙パック×12本入,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0F47FFZZM,ドライいちじく ダイスカット8mm 1kg トルコ産,1,0,0.09%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FF4CDDK8,MCC 業務用 ストレート・デミグラスソース 3kg,2,0,0.17%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0FJL8S2CL,京都飲料 高級本格焙煎珈琲 アイスコーヒー 無糖 1L×2本,1,0,0.09%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0G346WQDC,MCC 業務用 ボロニア風ミートソース 140g,1,0,0.09%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0G347KKG3,MCC 業務用 カルボナーラソース 140g,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0G34CD8H8,MCC 業務用 国産紅ズワイガニのトマトクリームソース 140g,2,0,0.17%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0G34DT98J,MCC 業務用 イカスミのソース 140g,2,0,0.17%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0G34F6SL9,MCC 業務用 明太子クリームソース 100g,2,0,0.17%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0G5ZWTHT8,[公式]ヒガシマル醤油 割烹関西 牛だしつゆ 1ℓ,4,0,0.35%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0G61JVZ76,ジーエスフード ラーメンコショー 90g,32,1,2.77%,3.13%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0G64CP1KB,MCC 業務用 Today’ｓストレート・デミグラスソース 1㎏,5,0,0.43%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0G779MS26,ジーエスフード マスタード 400g,1,0,0.09%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0G88TV6QB,ダイショー 和風だし香る 梅ソース 600g,1,0,0.09%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0G8F52H36,信明商事 Nido（ニド）スパゲッティ 1.6mm 4kg 業務用 大容量 パスタ 乾麺 備蓄 デュラムセモリナ100% 大容量パスタ 徳用,1,0,0.09%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0GHQ6YW6Q,GS ピラフベース 300g ×3本入,1,0,0.09%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0GJBXBMW8,GS アメリカーノエスプレッソ 無糖 500ml 5倍希釈,1,0,0.09%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0GN998VR5,ライオンラベルラード 10g×10袋パック 小袋ラード,4,0,0.35%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0